Rank,Coin Name,Symbol,Price,1h,24h,7d,30d,24h Volume,Circulating Supply,Total Supply,Market Cap,Sector
46,Aave,AAVE,92.53,-0.6,4.3,-1.0,11.0,169071815.0,14640360.0,16000000.0,1353296683.0,DeFi
47,Maker,MKR,1469.55,0.8,1.3,3.3,-3.4,134212928.0,901311.0,978000.0,1323268975.0,DeFi
48,Injective,INJ,15.63,0.7,0.7,-5.6,51.2,101870789.0,84255556.0,100000000.0,1316138826.0,Altcoin
49,The Graph,GRT,0.14,1.3,3.9,7.9,61.7,100683146.0,9313462072.0,10000000000.0,1312701409.0,DeFi
50,Arbitrum,ARB,1.0,0.2,-1.9,-10.8,19.0,330572699.0,1275000000.0,10000000000.0,1274970582.0,Infrastructure/L1/L2
51,Render,RNDR,3.26,0.1,-4.7,31.4,61.6,193668334.0,374243313.0,531000000.0,1222039540.0,Altcoin
52,Rocket Pool ETH,RETH,2216.89,0.4,2.1,1.2,21.3,8583634.0,543163.0,543000.0,1204093923.0,Altcoin
53,Synthetix Network,SNX,3.43,0.0,5.2,25.4,56.6,234273155.0,326492861.0,327000000.0,1126089485.0,Infrastructure/L1/L2
54,MultiversX,EGLD,42.35,0.5,-1.4,-9.7,55.3,35420729.0,26234462.0,26200000.0,1111114409.0,Infrastructure/L1/L2
55,Algorand,ALGO,0.13,0.3,-3.3,-6.8,36.7,68159573.0,8006088059.0,8010000000.0,1031403193.0,Infrastructure/L1/L2
56,Flow,FLOW,0.62,0.9,-4.1,-8.3,36.3,40621841.0,1471201014.0,1470000000.0,918473679.0,Altcoin
57,Theta Network,THETA,0.9,0.3,-2.7,-4.8,46.1,19679426.0,1000000000.0,1000000000.0,904181803.0,Infrastructure/L1/L2
58,Bitcoin SV,BSV,45.56,0.0,-4.2,-5.5,-9.9,38623645.0,19558969.0,21000000.0,891592427.0,Infrastructure/L1/L2
59,Stacks,STX,0.61,0.0,-2.9,-4.1,-6.2,23968051.0,1421837341.0,1820000000.0,861520742.0,Altcoin
60,Fantom,FTM,0.29,0.3,-5.0,-9.9,29.0,118565089.0,2803634836.0,3180000000.0,816602455.0,Infrastructure/L1/L2
61,Celestia,TIA,5.67,-1.3,3.0,-9.9,0.0,277779060.0,141043528.0,1000000000.0,800895863.0,Altcoin
62,The Sandbox,SAND,0.38,0.5,-4.4,-11.4,23.4,84248957.0,2095031926.0,3000000000.0,795605412.0,Altcoin
63,WhiteBIT Coin,WBT,5.43,0.2,-0.2,0.3,1.0,4962253.0,144118517.0,364000000.0,781967174.0,Altcoin
64,Axie Infinity,AXS,5.73,0.6,-3.8,-9.2,28.5,75366667.0,132455907.0,270000000.0,759117194.0,Altcoin
65,Bitget Token,BGB,0.54,-0.1,-0.5,2.2,26.2,18555030.0,1400001000.0,2000000000.0,751366014.0,Altcoin
66,EOS,EOS,0.66,0.2,-5.2,-7.5,17.1,143253351.0,1128814640.0,0.0,747701037.0,Altcoin
67,NEO,NEO,10.45,0.0,-4.1,-11.1,39.4,71702628.0,70530000.0,100000000.0,737334727.0,Altcoin
68,Decentraland,MANA,0.39,0.3,-3.6,-10.9,28.7,76455578.0,1846989999.0,2190000000.0,727276330.0,Altcoin
69,USDD,USDD,1.0,0.1,0.0,-0.2,-0.4,52709280.0,725332026.0,0.0,722016186.0,Stablecoin
70,KuCoin,KCS,7.39,0.3,2.7,22.3,63.4,305244.0,96732986.0,144000000.0,713536051.0,Altcoin
71,Tezos,XTZ,0.78,0.5,-4.9,-9.4,16.2,39672111.0,891685800.0,982000000.0,697688139.0,Altcoin
72,Kava,KAVA,0.72,0.2,-2.9,-10.9,21.5,15416391.0,955123860.0,955000000.0,692555026.0,Altcoin
73,XDC Network,XDC,0.05,0.1,-2.5,-3.9,3.0,14086676.0,13879047556.0,37900000000.0,683675610.0,Infrastructure/L1/L2
74,First Digital USD,FDUSD,1.0,0.4,-1.6,-0.2,-0.4,308208163.0,679938968.0,680000000.0,677957072.0,Stablecoin
75,Frax,FRAX,1.0,0.1,-0.2,0.0,-0.1,16908853.0,670673781.0,671000000.0,668594922.0,Stablecoin
76,GALA,GALA,0.02,0.4,-7.6,-0.5,68.4,957729823.0,28064109097.0,28100000000.0,657956871.0,Altcoin
77,Klaytn,KLAY,0.19,-1.8,8.4,14.9,55.3,37282005.0,3271052184.0,0.0,633012159.0,Altcoin
78,Pyth Network,PYTH,0.42,5.4,25.8,0.0,0.0,182645148.0,1500000000.0,10000000000.0,624040526.0,Infrastructure/L1/L2
79,Mina Protocol,MINA,0.61,-0.2,-4.2,-0.4,44.1,30911301.0,1005962475.0,1100000000.0,613637583.0,Infrastructure/L1/L2
80,dYdX,ETHDYDX,3.39,-0.5,12.7,-17.4,65.2,650791208.0,180263183.0,1000000000.0,611927904.0,Altcoin
81,Radix,XRD,0.06,0.1,10.0,31.2,36.4,4720693.0,10305310076.0,12700000000.0,594573578.0,Altcoin
82,Illuvium,ILV,98.09,1.3,0.7,7.5,140.7,44179670.0,6054182.0,9610000.0,593859683.0,Altcoin
83,Frax Ether,FRXETH,2011.16,0.0,0.9,0.7,20.5,1636206.0,293311.0,293000.0,589714024.0,Altcoin
84,Tokenize Xchange,TKX,7.26,0.2,-0.3,7.5,33.2,11118952.0,79996000.0,100000000.0,581063456.0,Altcoin
85,Gate,GT,4.23,0.1,-0.1,2.0,11.7,1844147.0,136232297.0,300000000.0,576366923.0,Altcoin
86,Cheelee,CHEEL,10.54,0.1,0.5,4.1,13.6,4901555.0,53838100.0,1000000000.0,566375017.0,Altcoin
87,WEMIX,WEMIX,1.74,-0.2,-2.1,-2.7,70.3,4792920.0,325164508.0,978000000.0,565201516.0,Altcoin
88,Blur,BLUR,0.51,10.6,36.4,43.2,175.4,296654526.0,1097706662.0,3000000000.0,557830938.0,Altcoin
89,Fetch.ai,FET,0.53,0.7,2.9,27.9,124.9,231395614.0,1043462805.0,1150000000.0,554167062.0,Altcoin
90,PancakeSwap,CAKE,2.36,0.4,-9.1,-11.6,105.5,218610934.0,234093308.0,390000000.0,551222280.0,DeFi
91,eCash,XEC,0.0,0.2,-3.6,-8.9,3.0,5746712.0,19558792173093.0,21000000000000.0,547827392.0,Altcoin
92,Rocket Pool,RPL,27.48,1.5,3.0,-4.6,34.4,4951292.0,19842347.0,19800000.0,543831667.0,Altcoin
93,IOTA,IOTA,0.17,0.9,-3.9,-7.6,15.6,9356115.0,3018990414.0,4600000000.0,524134088.0,Altcoin
94,ApeCoin,APE,1.41,2.2,-1.6,-1.5,27.1,94043016.0,368593750.0,1000000000.0,519249794.0,Altcoin
95,Frax Share,FXS,6.89,1.1,0.8,-11.3,24.3,41991658.0,75282183.0,99700000.0,518775048.0,Altcoin
96,Sui,SUI,0.53,1.2,-1.2,-9.9,33.6,89479970.0,965577711.0,10000000000.0,515742654.0,Infrastructure/L1/L2
97,Conflux,CFX,0.15,0.1,-3.3,-9.6,33.3,38357640.0,3457624900.0,5440000000.0,511998453.0,Altcoin
98,Arweave,AR,7.75,1.1,-0.5,3.9,85.4,21507079.0,65454186.0,65500000.0,507054552.0,Altcoin
99,Curve DAO,CRV,0.55,1.0,-2.0,-6.2,21.2,89138351.0,919601447.0,2040000000.0,505666551.0,DeFi
100,Rollbit Coin,RLB,0.16,-2.3,-6.7,-30.4,3.7,8526016.0,3081146040.0,3080000000.0,504641576.0,Altcoin
101,Gnosis,GNO,194.21,-0.4,2.3,12.2,91.5,4313295.0,2589589.0,3000000.0,502800406.0,Altcoin
102,Chiliz,CHZ,0.07,0.4,-3.8,-9.6,11.9,89888764.0,6975647158.0,8890000000.0,492800669.0,Altcoin
103,cETH,CETH,40.73,0.5,2.1,1.0,21.5,755.0,12090449.0,12100000.0,492425783.0,Altcoin
104,Gas,GAS,7.55,-0.4,-7.2,-14.7,164.9,40387487.0,65093581.0,65099999.99999999,491554522.0,Altcoin
105,Tether Gold,XAUT,1983.96,-0.3,-0.7,1.3,0.4,9019407.0,246524.0,247000.0,489695345.0,Stablecoin
106,GMX,GMX,50.69,0.3,1.5,-4.3,24.7,39938256.0,9217002.0,9220000.0,467151285.0,Altcoin
107,Trust Wallet,TWT,1.12,0.9,-5.3,-8.2,9.3,54485652.0,416649900.0,1000000000.0,465421402.0,Altcoin
108,Huobi,HT,2.92,0.0,-3.1,0.8,27.2,41079553.0,159406077.0,201000000.0,464588205.0,Altcoin
109,PAX Gold,PAXG,1976.3,-0.1,-0.3,1.6,0.7,13032976.0,232987.0,233000.0,460404147.0,Altcoin
110,Pepe,PEPE,0.0,0.2,-2.7,-9.5,45.3,79609116.0,420690000000000.0,421000000000000.0,454089716.0,Memecoin
111,Pax Dollar,USDP,1.0,0.1,0.0,0.0,-0.1,3387487.0,448212766.0,448000000.0,447356828.0,Stablecoin
112,ORDI,ORDI,21.19,0.2,0.5,-5.1,435.5,201703622.0,21000000.0,21000000.0,445592225.0,Altcoin
113,Staked Frax Ether,SFRXETH,2159.99,0.6,1.7,1.1,21.2,921580.0,205820.0,206000.0,444561266.0,Altcoin
114,cWBTC,CWBTC,731.94,-0.2,0.3,1.1,18.5,0.0,602088.0,602000.0,440695054.0,Altcoin
115,BitTorrent,BTT,0.0,0.6,-3.4,-6.4,17.9,31884699.0,951421714286000.0,990000000000000.0,432507003.0,Altcoin
116,Terra Luna Classic,LUNC,0.0,0.7,-1.9,-10.4,24.7,33630926.0,5803126436839.0,6830000000000.0,420059976.0,Altcoin
117,Coinbase Wrapped Staked ETH,CBETH,2135.1,0.2,1.3,0.9,21.0,3974549.0,195572.0,1330000.0,417495503.0,Altcoin
118,NEXO,NEXO,0.74,0.2,-0.5,-1.2,27.6,4512144.0,560000010.0,1000000000.0,414359635.0,Altcoin
119,Kujira,KUJI,3.38,-2.0,-1.4,-4.1,163.6,2451272.0,122349807.0,122000000.0,413786827.0,Altcoin
120,Zcash,ZEC,28.19,0.5,-1.5,-6.1,7.7,42818122.0,14435666.0,21000000.0,407030960.0,Altcoin
121,Osmosis,OSMO,0.62,-0.4,-2.2,-4.5,156.3,17174602.0,628638059.0,1000000000.0,387368849.0,Altcoin
122,WOO Network,WOO,0.22,0.0,-2.3,-14.8,15.8,22740864.0,1772540815.0,2230000000.0,382123712.0,Infrastructure/L1/L2
123,STEPN,GMT,0.27,1.2,-0.9,7.8,78.8,152470737.0,1381830966.0,5370000000.0,379924165.0,Altcoin
124,Beam,BEAM,0.01,-0.4,1.1,15.3,0.0,19701799.0,44457670333.0,62800000000.0,377630264.0,Altcoin
125,Casper Network,CSPR,0.03,-0.3,-4.1,-7.4,5.5,6869496.0,11476826594.0,12200000000.0,370704819.0,Infrastructure/L1/L2
126,Akash Network,AKT,1.66,-0.6,7.1,71.2,90.5,8343178.0,221870453.0,222000000.0,369098266.0,Infrastructure/L1/L2
127,Terra,LUNA,0.63,1.2,3.8,-18.0,52.0,94707227.0,584959462.0,1080000000.0,367720438.0,Altcoin
128,1inch,1INCH,0.34,0.5,-1.5,-6.0,28.2,30902018.0,1040979121.0,1500000000.0,356400022.0,Altcoin
129,SingularityNET,AGIX,0.29,-0.2,0.4,14.7,56.2,100368709.0,1241997271.0,1350000000.0,354623894.0,Altcoin
130,Aleph Zero,AZERO,1.41,0.2,3.3,1.1,87.0,3996914.0,248759366.0,347000000.0,351742872.0,Altcoin
131,Oasis Network,ROSE,0.07,1.5,1.2,-2.0,60.9,47924568.0,5029357184.0,10000000000.0,348498824.0,Infrastructure/L1/L2
132,Zilliqa,ZIL,0.02,0.0,-5.0,-7.1,14.0,29390307.0,17324063149.0,18400000000.0,348448907.0,Altcoin
133,Compound,COMP,49.82,0.8,-1.0,-13.9,12.4,76160559.0,6856086.0,10000000.0,341293871.0,DeFi
134,Astar,ASTR,0.06,1.3,-0.4,-6.6,49.1,18127493.0,5364861787.0,8270000000.0,340646665.0,Altcoin
135,Dash,DASH,28.55,0.4,-5.6,-9.9,8.3,64333700.0,11548029.0,18900000.0,329669773.0,Altcoin
136,Marinade staked SOL,MSOL,62.95,0.3,-0.7,-11.4,88.8,19758667.0,5232842.0,5230000.0,329403979.0,Altcoin
137,FLOKI,FLOKI,0.0,0.1,5.1,-7.5,24.9,31010623.0,9941648926283.0,10000000000000.0,322471019.0,Memecoin
138,Huobi BTC,HBTC,35440.6,0.2,-8.4,-9.4,16.7,20815998.0,8969.0,8970.0,317883847.0,Altcoin
139,Sei,SEI,0.17,5.4,8.1,3.7,66.4,89515149.0,1800000000.0,10000000000.0,313952989.0,Altcoin
140,Qtum,QTUM,2.99,0.2,-3.1,-5.7,26.0,26285225.0,104915108.0,108000000.0,313798983.0,Altcoin
141,Flare,FLR,0.01,1.1,0.6,-1.2,20.2,9635288.0,28717986141.0,101000000000.0,313376637.0,Altcoin
142,NEM,XEM,0.03,0.5,-4.3,-3.1,24.1,4903551.0,8999999999.0,9000000000.0,310280518.0,Altcoin
143,Axelar,AXL,0.64,0.5,-0.4,46.4,102.4,19049590.0,478717140.0,1120000000.0,308367748.0,Altcoin
144,APENFT,NFT,0.0,-0.3,-0.4,-2.7,-5.3,6821827.0,990105682877398.0,1000000000000000.0,305485532.0,Altcoin
145,Helium,HNT,2.1,1.1,3.1,2.0,43.1,1729019.0,143934821.0,223000000.0,302380380.0,Altcoin
146,Basic Attention,BAT,0.2,0.7,-4.7,-11.3,4.0,46516507.0,1490413701.0,1500000000.0,300902174.0,Altcoin
147,Worldcoin,WLD,2.58,2.7,7.7,11.3,70.5,195902550.0,116419383.0,10000000000.0,300460340.0,Altcoin
148,MX,MX,2.89,0.4,-0.9,-0.5,8.3,3099709.0,100631536.0,432000000.0,290921348.0,Altcoin
149,Convex Finance,CVX,3.53,0.3,-2.3,-6.1,32.3,7360740.0,81990704.0,99200000.0,289188709.0,DeFi
150,Beldex,BDX,0.05,-0.6,-3.5,4.9,57.4,2697484.0,5911883992.0,9920000000.0,285353693.0,DeFi
151,SKALE,SKL,0.06,-1.0,7.9,91.4,155.5,189183585.0,5001811004.0,5180000000.0,284224078.0,Altcoin
152,Bitcoin Gold,BTG,15.76,-0.3,-2.8,-3.9,8.8,3412873.0,17513924.0,21000000.0,275864225.0,Infrastructure/L1/L2
153,ARK,ARK,1.55,-0.6,-3.0,-5.1,252.0,83527438.0,177080512.0,0.0,274980204.0,Altcoin
154,CorgiAI,CORGIAI,0.0,-1.2,-0.6,-6.6,1278.0,1336519.0,277312793789.0,373000000000.0,271721792.0,Altcoin
155,Mask Network,MASK,3.28,0.0,-4.8,-5.4,21.3,116522963.0,82112500.0,100000000.0,269076649.0,Infrastructure/L1/L2
156,SafePal,SFP,0.64,0.0,-4.4,-4.8,0.0,9425285.0,420833333.0,500000000.0,268693602.0,Altcoin
157,JUST,JST,0.03,0.0,-4.0,-9.4,18.3,46697586.0,8902080000.0,9900000000.0,267779250.0,Altcoin
158,Theta Fuel,TFUEL,0.04,0.6,-5.9,-6.9,17.9,3023182.0,6356158193.0,6360000000.0,263645121.0,Altcoin
159,yearn.finance,YFI,7919.26,0.0,-2.0,-28.0,40.9,94564990.0,33231.0,36700.0,263249291.0,DeFi
160,Enjin Coin,ENJ,0.26,0.1,-2.7,-6.0,18.4,21236788.0,1000000000.0,1000000000.0,261781224.0,Altcoin
161,Holo,HOT,0.0,0.2,-3.8,-8.0,20.1,13637575.0,177619433541.0,178000000000.0,260045999.0,Altcoin
162,Celo,CELO,0.5,0.5,-2.9,-9.0,13.6,17258060.0,518357311.0,1000000000.0,259996224.0,Altcoin
163,OKT Chain,OKT,14.05,0.3,3.6,5.3,25.7,3539810.0,17847480.0,17800000.0,250727962.0,Infrastructure/L1/L2
164,Loopring,LRC,0.2,0.0,-6.0,-14.5,15.3,27732526.0,1245991469.0,1370000000.0,250586765.0,Altcoin
165,Fasttoken,FTN,1.21,0.1,-0.5,-0.3,9.7,23076336.0,203631292.0,880000000.0,246576328.0,Altcoin
166,Lido Staked SOL,STSOL,62.78,0.9,-1.0,-11.4,89.3,3112861.0,3900412.0,3900000.0,244698790.0,Altcoin
167,JasmyCoin,JASMY,0.0,-0.5,-4.3,-3.9,53.9,41879744.0,48419999999.0,50000000000.0,240944245.0,Altcoin
168,Ankr Network,ANKR,0.02,-0.7,-5.4,-7.4,12.5,24203867.0,10000000000.0,10000000000.0,239631758.0,Infrastructure/L1/L2
169,Chia,XCH,26.23,0.0,0.8,-3.5,13.3,18151230.0,9111290.0,30100000.0,238989456.0,Altcoin
170,Golem,GLM,0.23,-0.3,-3.8,-17.6,12.4,7515162.0,1000000000.0,1000000000.0,234464388.0,Altcoin
171,ICON,ICX,0.24,-0.1,-7.9,-13.7,23.4,5642526.0,972705137.0,986000000.0,232582348.0,Altcoin
172,Siacoin,SC,0.0,-1.9,-3.0,4.1,44.0,13131723.0,51477015000.0,0.0,231275248.0,Altcoin
173,Tellor Tributes,TRB,92.02,1.6,2.7,5.5,7.6,36643736.0,2512060.0,2560000.0,231131361.0,Altcoin
174,Escoin,ELG,1.02,0.0,0.3,0.9,-17.4,492564.0,0.0,250000000.0,230657457.0,Altcoin
175,Decred,DCR,14.3,0.4,-4.2,-3.0,16.5,1442556.0,15657542.0,21000000.0,224102764.0,Altcoin
176,Ronin,RON,0.82,0.4,-0.6,2.6,92.3,4388534.0,271008046.0,1000000000.0,220915813.0,Altcoin
177,Echelon Prime,PRIME,7.49,0.6,9.0,16.1,117.3,8629831.0,28703507.0,111000000.0,214900193.0,Altcoin
178,DeFiChain,DFI,0.25,0.0,-1.4,-10.0,-8.0,4357712.0,831691686.0,1200000000.0,211350854.0,Infrastructure/L1/L2
179,Ethereum Name Service,ENS,8.17,0.7,-3.1,-6.8,11.8,29030115.0,25783233.0,100000000.0,210737580.0,Infrastructure/L1/L2
180,aelf,ELF,0.46,0.1,-4.9,1.3,29.4,13393136.0,461329999.0,880000000.0,210325146.0,Altcoin
181,IoTeX,IOTX,0.02,0.9,-5.7,-10.9,15.7,11358900.0,9442543017.0,9500000000.0,209680573.0,Altcoin
182,Kusama,KSM,23.27,0.7,-1.7,-7.7,29.6,16146518.0,8980098.0,10000000.0,209011232.0,Altcoin
183,Liquity USD,LUSD,0.99,0.0,-0.3,-0.2,-0.2,16191977.0,210657676.0,211000000.0,208972664.0,Stablecoin
184,Aragon,ANT,5.16,0.8,1.7,0.3,4.7,16135948.0,40039312.0,43200000.0,206956294.0,Altcoin
185,Audius,AUDIO,0.18,0.4,-3.7,-11.0,20.1,12393576.0,1167950954.0,1200000000.0,206827020.0,Altcoin
186,Sushi,SUSHI,1.06,1.0,1.4,4.7,84.3,114268616.0,192789256.0,250000000.0,204063773.0,DeFi
187,WAX,WAXP,0.06,0.5,-4.1,-5.9,20.7,6744387.0,3370750857.0,3770000000.0,203888921.0,Altcoin
188,SwissBorg,BORG,0.21,0.5,-1.4,-2.1,3.5,720191.0,984654858.0,985000000.0,203247409.0,Altcoin
189,Waves,WAVES,2.03,0.3,-3.1,-15.3,28.9,54488248.0,100000000.0,100000000.0,202570656.0,Altcoin
190,Ocean Protocol,OCEAN,0.46,0.9,-2.1,11.3,54.1,77073401.0,434026837.0,1410000000.0,198930161.0,Infrastructure/L1/L2
191,FINSCHIA,FNSA,27.03,0.5,-2.6,-5.0,31.2,428058.0,7364293.0,7360000.0,198651625.0,Altcoin
192,Ravencoin,RVN,0.02,-0.1,-4.1,-9.7,12.4,11581067.0,11907968089.0,11900000000.0,198107637.0,Altcoin
193,Memecoin,MEME,0.03,0.9,-2.2,-34.6,0.0,169942506.0,7551850989.0,69000000000.0,195071994.0,Memecoin
194,SXP,SXP,0.33,0.4,-6.3,-8.4,16.1,17142564.0,585067686.0,585000000.0,191985775.0,Altcoin
195,Livepeer,LPT,6.34,0.4,-6.3,-13.8,8.7,33602693.0,29764387.0,29800000.0,188607213.0,Altcoin
196,Moonbeam,GLMR,0.24,0.1,-5.1,-7.0,35.4,11203206.0,789026772.0,1090000000.0,188541511.0,Altcoin
197,Telcoin,TEL,0.0,1.3,-0.6,5.9,103.3,1644898.0,72466058901.0,100000000000.0,187298939.0,Altcoin
198,Band Protocol,BAND,1.37,0.3,-5.9,-9.2,3.1,12628249.0,136197694.0,141000000.0,186989684.0,Infrastructure/L1/L2
199,DeXe,DEXE,3.27,1.1,-1.1,-7.1,53.3,2323914.0,57101604.0,96500000.0,186569299.0,DeFi
200,Olympus,OHM,11.4,-0.1,-0.1,0.4,-2.4,183117.0,16365246.0,26800000.0,186476204.0,Altcoin
201,Ontology,ONT,0.21,0.0,-4.8,-9.4,13.8,7812163.0,896397857.0,1000000000.0,184624659.0,Altcoin
202,Bonk,BONK,0.0,1.7,16.4,62.8,1320.0,85916890.0,42974933572261.0,93900000000000.0,184591575.0,Memecoin
203,DAO Maker,DAO,0.88,-0.7,-2.0,6.1,63.7,2240168.0,207532000.0,278000000.0,182156175.0,Altcoin
204,Centrifuge,CFG,0.5,-1.0,2.9,-6.8,54.5,1202470.0,360263043.0,447000000.0,181160270.0,Altcoin
205,Wrapped Centrifuge,WCFG,0.5,-1.4,2.6,-7.4,54.2,591217.0,360263043.0,0.0,181072705.0,Altcoin
206,tomiNet,TOMI,2.04,0.2,-3.6,-11.5,-13.1,30070435.0,85951707.0,121000000.0,175567288.0,Altcoin
207,Biconomy,BICO,0.25,0.6,-6.2,-14.5,18.7,7631716.0,701391763.0,1000000000.0,175352140.0,Altcoin
208,GameAI,GAT,0.88,1.9,0.6,11.7,4.1,18389301.0,200000001.0,1000000000.0,175137847.0,Altcoin
